"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"rafael-moura",37655,"Rafael Moura","290","ata",6.65,7.9,5.1,0,1,7.9,0,5,14,1,15,0,2,4,3,1,0,"Provável",1.6,7.9
"jonathan",37662,"Jonathan","293","lat",8.87,-0.4,3.5,0,1,-0.4,0,0,3,3,20,1,0,1,0,0,0,"Provável",-1.67,-0.4
"rafael-sobis",37798,"Rafael Sobis","354","ata",6.4,-0.2,12.9,0,1,0,-0.2,10,3,3,18,0,1,1,6,0,0,"Nulo",-0.33,-0.2
"jo",38138,"Jô","264","ata",12.16,-0.5,34.7,0,1,-0.5,0,14,7,0,33,1,2,9,5,3,0,"Provável",-1.79,-0.5
"fernando-prass",38140,"Fernando Prass","354","gol",5.12,-1.2,18.7,0,1,0,-1.2,0,1,0,73,0,0,0,0,0,13,"Provável",-1.14,-1.2
"fred",38162,"Fred","266","ata",2.99,1.4,5.3,0,1,1.4,0,2,6,1,10,0,0,5,1,1,0,"Nulo",0.13,1.4
"wellington-paulista",38279,"Wellington Paulista","356","ata",9.63,10.3,41.5,0,1,10.3,0,10,10,1,19,1,3,11,2,4,0,"Provável",2.45,10.3
"thiago-heleno",38394,"Thiago Heleno","293","zag",4.59,1.3,-0.2,0,1,1.3,0,2,7,4,18,0,0,5,2,0,0,"Provável",-0.22,1.3
"diego-cavalieri",38431,"Diego Cavalieri","263","gol",5.72,1.4,1.4,0,1,0,1.4,0,0,0,6,0,0,0,0,0,1,"Nulo",-1.28,1.4
"edilson",38523,"Edílson","290","lat",5.9,-1,-1,0,1,-1,0,1,1,1,8,0,0,0,1,0,0,"Provável",-2.1,-1
"elton",38588,"Elton","292","ata",10.7,-1.2,14.2,0,1,0,-1.2,17,16,2,35,0,8,4,9,2,0,"Provável",-0.15,-1.2
"hernanes",38648,"Hernanes","276","mei",8.84,2.4,14.7,0,1,2.4,0,5,7,5,23,0,0,7,2,1,0,"Provável",0.18,2.4
"filipe-luis",38750,"Filipe Luís","262","lat",6.56,8.8,15,0,1,0,8.8,4,11,17,62,0,1,11,1,1,0,"Dúvida",1.84,8.8
"mariano",38877,"Mariano","282","lat",8.85,2.5,9.9,0,1,0,2.5,1,5,16,63,0,0,3,0,0,0,"Nulo",-1.16,2.5
"diego",38909,"Diego","262","mei",4.69,1.8,0.0999999999999999,0,1,0,1.8,0,12,3,14,0,0,15,0,0,0,"Dúvida",0.3,1.8
"nene",38913,"Nenê","266","mei",11.65,-0.1,40.9,0,1,-0.1,0,14,6,6,90,1,0,18,7,3,0,"Provável",-0.94,-0.1
"franco",39656,"Franco","282","mei",6.88,9.7,32.7,0,1,0,9.7,7,10,9,29,0,0,8,3,3,0,"Provável",1.92,9.7
